superclass,class,type,variant,style,product_id,product_name
Clothing,Casual Wear,Bottom-wear,Wrap Dress,Satin Wrap Dress,1debb8d38bede23db7536f02633b4c5ae49fa689529fdbbecfe17dc29b019fa6,Satin wrap dress
Clothing,Casual Wear,Bottom-wear,Rib-Knit Midi Dress,Scoop-neck rib-knit dress,ca18150741e98d955592829f1354b45d416149290f9a82e4014d9375533c53c1,Rib-knit dress
Clothing,Casual Wear,Bottom-wear,Textured-weave Shift Dress,Slim Fit Dress,3ea96a728c7a8495713d4be695f02b9fb9b70b84ef10e34b30eb60837c396a21,Textured-weave dress
Clothing,Casual Wear,Top-wear,Off-the-Shoulder Dress,Off-the-Shoulder Dress,6a68cf80104afd5c8242b3737d1b77ce01c632eaffa4699f667c23925210abed,Off-the-shoulder dress
Clothing,Casual Wear,Bottom-wear,Jacquard Dress,Flounce-trimmed dress,50b9ef1c37282333f2ec05bdbed3736c9f92ca1ba30506f06018ec0b06be3cd0,Jacquard-weave dress
Clothing,Casual Wear,Bottom-wear,Bodycon Dress,Bodycon Sleeveless Dress,c59c00a6ce4effb6fe7055780a7a6ae31fc4dd6cfc4e1a414dbf11b69b28e211,Crinkled jersey dress
Clothing,Casual Wear,Bottom-wear,Rib-Knit Midi Dress,Scoop-neck rib-knit Dress,98bfde7a9587f3013ebcb4e0f04b8e7e1de16de458ea24aecbfcd3b850173f19,Rib-knit dress
Clothing,Casual Wear,Bottom-wear,Strappy Midi Dress,Bodycon Sleeveless Dress,421ed97d9fd05b84500233c5ae89eef73ce83085ac3d66d0ff28efef74fc9259,Crinkled jersey dress
Clothing,Casual Wear,Bottom-wear,A-line dress,A-line Dress,1e700fe188147bc11033ee308bd87116b484ef37984dc604208f753382f146a3,Bead-embellished dress
Clothing,Casual Wear,Bottom-wear,Patterned Midi Dress,Asymmetric Dress,094b202a0b97d4090b4d4b9c3b72adcd5b9d72f3d13a11e23b429583119b996b,Patterned tie-belt dress
Clothing,Casual Wear,Bottom-wear,Maxi Dress,Loose Fit Dress,2eee42ae04841363d5037545bcbd05b2930da5e7004689682a8c0ad72612da3a,Oversized shirt dress
Clothing,Casual Wear,Bottom-wear,A-line dress,Shoulder-Pad Dress,e84e47abab8eb6dddb11c8ccbba905e530466898d81d91ec7100787f51a7e81f,Shoulder-pad dress
Clothing,Casual Wear,Bottom-wear,Bodycon Dress,Slim Fit Dress,c41e08f8e17ea16ed14d341b915894ca8a81da0a9c0835974f462a67330caef9,Fitted jersey dress
Clothing,Casual Wear,Bottom-wear,Bodycon Dress,Bodycon Dress,74fad05a1b875822ff94ae1d9e52b0762d3aaa7d60e5df724a714aa14bf95683,Draped bodycon dress
Clothing,Casual Wear,Bottom-wear,Flared Mini Dress,Oversized Dress,61bad12b871f35594b308df274e63eb2e2e0c300d78405cf04dfa58e043ba385,Hooded cotton dress
Clothing,Casual Wear,Bottom-wear,One-Shoulder Dress,Strapless Sleeveless Dress,f6d4e140420f2e8abc2ac9f0842a6b063dfc2ca80bbb2f2dcc5b3f3ffd56bd64,Button-detail dress
Clothing,Casual Wear,Bottom-wear,Patterned Midi Dress,Strapless Sleeveless Dress,e70db302bc9b148cecb4e9bf25e88e0d2e8061ed9304d1aa967e5b73e055d80a,Patterned poplin dress
Clothing,Casual Wear,Bottom-wear,Flared Dress,Flared Dress,03892fabd5602142ebadae99e32f8c73048c7a72e2a00c7018790e00b14cc37e,Smock-topped dress
Clothing,Casual Wear,Bottom-wear,Rib-Knit Midi Dress,Scoop-Neck Rib-Knit Dress,d2dbf9f65f3e8244cd9b7adb115a687cf79de0b30cb4ac2629703a5e8e121a81,Rib-knit boat-neck dress
Clothing,Casual Wear,Bottom-wear,Print-motif Dress,Floral Print Dress,3b670381845f62d5b3959393b4f9ac839f5daed9bc607c1a85ff04445b92530d,Print-motif dress
Clothing,Casual Wear,Bottom-wear,Mini Bodycon Dress,Bodycon Dress,1930ac7407164d3a53803099785f3a0e0829ffa87baac5ed4565b1081404c27d,Turtleneck mini dress
Clothing,Casual Wear,Bottom-wear,Sequined Mini Dress,Jacquard-weave mini dress,0e23c0e762eef67db7a26116a59ef8a79074d65dc990d21f0265fec05e084c64,Jacquard-weave mini dress
Clothing,Casual Wear,Bottom-wear,Bodycon Midi Dress,Turtleneck Dress,c84b9311b7bc1d5cfbebeb9a1150e0df9a71fe20c632e4ce5e60c9cf21c0f3b0,Rib-knit turtleneck dress
Clothing,Casual Wear,Bottom-wear,Flared Voluminous Dress,Loose Fit Voluminous Dress,90491f3250a5d832e8bbc8fd939c07a414927bedcfbd8d008d8aebcf94a014f2,Voluminous tie-belt dress
Clothing,Casual Wear,Bottom-wear,Tie-belt Crêpe Dress,Balloon-sleeved Dress,9cf683c8da20a4aa166522d31999b77b1b4622056f4c2fb8c8e46077113ec471,Tie-belt crêpe dress
Clothing,Casual Wear,Bottom-wear,Sequined Midi Dress,Sheer-skirt maxi dress,68aaba0354b734fe029ae759ced637091f457c7178e3451b5112a887760b1973,A-line dress
Clothing,Casual Wear,Top-wear,Scoop-neck Dress,Turtleneck Dress,4b7c2886a77356eefef2568832c37a81cde588d6451581228829d9c0735ce990,Stud-detail turtleneck dress
Clothing,Casual Wear,Bottom-wear,Bodycon Dress,Bodycon Sleeveless Dress,f39b43734f4800cef8aa4cad47d60acc7f80a76292e3754a8c7cef844e13e2df,V-neck dress
Clothing,Casual Wear,Bottom-wear,One-Shoulder Dress,Asymmetric One-Shoulder Dress,afb1be0d01c52410f8ab792780778d18704d2d9eeaf5e969a47e0b23c7d7e768,Belted one-shoulder dress
